,0
68,418
21,9217
4,5173
23,8612
22,8912
8,7183
33,5387
20,9473
17,9946
50,1594
14,9740
28,6822
13,9278
35,4511
25,7931
47,1918
16,9850
48,1769
11,8631
12,8907
46,2034
64,566
15,9893
57,919
27,7278
9,7459
26,7716
34,4936
40,3197
18,9856
7,5854
29,6572
10,7827
39,3387
44,2467
19,9888
37,3957
24,8451
45,2346
6,5165
32,5541
38,3753
30,6366
5,5425
61,669
49,1637
36,4299
65,522
52,1266
58,835
31,6046
70,378
51,1419
54,1145
42,2787
41,2932
53,1245
67,431
62,638
43,2555
55,1067
59,814
66,483
63,601
60,749
56,944
69,413
